ID,Nome,latitude,longitude
113,Praça Cidade do Porto,-8.10641352,-34.88937024
114,Praça Cidade do Porto,-8.106038844,-34.88944621
115,Praça Visconde de Mauá,-8.066949294,-34.88301092
116,Praça Visconde de Mauá,-8.032290771,-34.89841292
117,Praça Arsenal da Marinha,-8.061041053,-34.87128455
118,Parque Treze de Maio,-8.056972105,-34.8815344
119,Praça da Convenção,-8.002903481,-34.89772051
120,Praça da Convenção,-8.002374716,-34.89726771
121,Praça do Berardo,-8.05663446,-34.91250896
122,Praça Beatriz Pereira Carneiro,-8.040415151,-34.87065066
123,Praça Professor Agamenon Magalhães,-8.043876748,-34.88213478
124,Praça Ministro João Gonçalves de Souza,-8.048164548,-34.94373587
125,Parque do Forte do Arraial Novo do Bom Jesus,-8.05849178,-34.93190824
126,Parque do Forte do Arraial Novo do Bom Jesus,-8.056643274,-34.93093265
127,Praça Eça de Queiroz,-8.050718298,-34.90697695
128,Praça Solange Pinto Melo,-8.052486506,-34.90866922
129,Praça Solange Pinto Melo,-8.054042493,-34.90886132
130,Praça Tobias Vitorino da Silva,-8.012621221,-34.88648683
131,Praça da Redenção,-8.055797033,-34.9457789
132,Praça Domingos Giovanetti,-8.047287513,-34.90435936
133,Praça Astério Rufino Alves,-8.086152993,-34.93252543
134,Praça Luiz Gonzaga,-8.114512026,-34.95083597
135,Praça Tertuliano Feitosa,-8.031892077,-34.88655079
136,Praça Ulisses Leon de Oliveira,-8.02933478,-34.88946523
137,Praça Antônio Luiz,-8.028152063,-34.89072248
138,Praça Luiz Inácio Pessoa de Mello,-8.030706977,-34.89487228
139,Praça Phaelante da Câmara,-8.033021471,-34.89645357
140,Praça Amaro Albino Pimentel,-8.029928162,-34.89786528
141,Praça José Sales Filho,-8.045159731,-34.9046566
142,Praça Professor Coelho de Almeida,-8.045449563,-34.93159909
143,Praça Pinto Damaso,-8.048372188,-34.95930836
144,Praça Manuel Markman,-8.036473407,-34.90945407
145,Praça Pinto Damaso,-8.049159781,-34.9594845
146,Praça do Caxanga,-8.031182701,-34.95495451
147,Praça João Vinte e Três,-8.083224468,-34.95535994
148,Praça Mercia de Albuquerque,-8.095123619,-34.93238217
149,Praça Olavo Bilac,-8.057103901,-34.88299549
150,Praça Desembargador Carlos Xavier Paes Barreto,-8.118049717,-34.92051981
151,Praça Aleixo de Oliveira,-8.112473679,-34.92441046
152,Praça Sebastião Malta,-8.136669744,-34.9369309
153,Praça Marcantônio Vilaça,-8.098990627,-34.88932383
154,Praça Selecao 70,-8.150688881,-34.91047983
155,Praça da Rua Carlos Gomes/ do Cavalo Dourado,-8.059028696,-34.91222267
156,Praça do Derby,-8.056286413,-34.89910823
157,Praça do Derby,-8.057136516,-34.89908761
158,Praça Poeta Fernando Pessoa,-8.055958926,-34.90106576
159,Praça do Entroncamento,-8.050457829,-34.897231
160,Praça da FEB,-8.040594222,-34.89473909
161,Praça Capiba,-8.009030103,-34.88522124
162,Praça Onze de Junho,-8.044146364,-34.87414291
163,Praça Onze de Junho,-8.045000556,-34.87471854
164,Praça Melvin Jones,-8.033058472,-34.90728339
165,Praça Mano Teodósio,-8.036080917,-34.92464338
166,Praça de Apipucos,-8.020943313,-34.93562139
167,Praça Vila do Moinho Recife,-8.037152315,-34.89067859
168,Praça Othon Bezerra de Melo,-8.015465916,-34.92860365
169,Largo da Encruzilhada,-8.037350908,-34.89142217
170,Praça Professor Ageu Magalhães,-8.05733666,-34.90025304
171,Praça Manuel Markman,-8.036620728,-34.90947217
172,Praça José Sales Filho,-8.044528018,-34.90482779
173,Praça Doutor Pedro Alves Neto,-8.018591518,-34.89320584
174,Praça Doutor Pedro Alves Neto,-8.01839404,-34.89336753
175,Praça Profeta Joseph Smith,-8.098106912,-34.88634993
176,Praça Professor Doutor Antônio Figueira,-8.03549863,-34.92324247
177,Praça Josenildo Paes Barreto,-8.06303777,-34.90501267
178,Praça Dom Miguel Valverde,-8.03553322,-34.89271976
179,Praça A.B.C,-8.073494139,-34.91860271
180,Praça Jornalista Antônio Teixeira Junior,-8.129670524,-34.90246713
181,Praça Alberto Pinto,-8.045053479,-34.88864
